ensgene	symbol	m7_d5_nutri_1	m7_d5_nutri_2	m7_d5_nutri_3	m7_d5_nutri_4	Rap_d1_nutri_1	Rap_d1_nutri_2	Rap_d1_nutri_3	Rap_d1_nutri_4	Ric_d5_nutri_1	Ric_d5_nutri_2	Ric_d5_nutri_3	Ric_d5_nutri_4	v_d4_nutri_1	v_d4_nutri_2	v_d4_nutri_3	v_d4_nutri_4
ENSG00000186827	TNFRSF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186891	TNFRSF18	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ENSG00000160072	ATAD3B	122	151	171	78	131	127	59	93	249	137	249	134	146	161	192	172
ENSG00000260179	AL162741.1	2	0	0	0	0	0	0	0	0	3	2	2	1	0	1	0
ENSG00000234396	AL590822.1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	MTND1P23	22	14	11	9	6	6	8	9	5	10	14	8	16	11	24	8
ENSG00000224315	RPL7P7	4	1	0	0	0	3	3	4	3	3	4	6	5	6	0	0
ENSG00000198744	MTCO3P12	26	25	24	9	17	24	22	15	27	19	30	96	32	29	33	51
ENSG00000279928	FO538757.2	0	1	1	0	1	1	1	2	4	5	0	5	1	0	1	0
ENSG00000228037	AL139246.3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000142611	PRDM16	21	20	21	16	0	0	0	0	3	0	0	0	9	1	5	5
ENSG00000225630	MTND2P28	22	25	28	22	12	12	15	11	67	19	31	19	47	25	62	37
ENSG00000131584	ACAP3	26	25	43	20	21	15	17	23	47	31	61	41	49	43	66	59
ENSG00000227589	AL136528.1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	1
ENSG00000237402	CAMTA1-IT1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
ENSG00000284616	AL139823.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169972	PUSL1	268	322	401	208	327	359	186	305	601	393	695	543	572	533	622	815
ENSG00000157911	PEX10	142	176	184	82	138	141	55	85	222	178	222	178	194	143	194	176
ENSG00000269896	AL513477.1	15	17	30	6	4	5	7	6	25	13	10	10	19	10	18	6
ENSG00000237973	MTCO1P12	15	22	19	11	14	17	14	7	26	13	28	14	19	17	27	16
ENSG00000224051	CPTP	195	215	239	142	215	216	99	162	466	313	416	267	403	334	370	345
ENSG00000228463	AP006222.1	7	4	5	7	2	5	1	8	8	2	1	10	7	1	0	0
ENSG00000260972	Z98259.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157933	SKI	45	60	55	38	34	54	62	51	123	52	129	108	130	86	100	117
ENSG00000162591	MEGF6	1	3	3	0	0	0	2	0	4	2	3	1	17	19	7	13
ENSG00000224340	AL590639.1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000270035	AL359881.2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
